           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              -32            -39.2               20        28.021076       -57.390499       -33.432228        27.255716        14.194411        -17.63501
            -31.2            -39.2               20        38.079662        29.778942       -28.986036       -26.848297        11.782796         11.96486
            -30.4            -39.2               20        -29.11441        26.104916        20.016109       -27.444529       -16.047176      -0.33830988
            -29.6            -39.2               20       -10.151035       -38.261272        18.833096        11.149519          5.01122       -20.831642
            -28.8            -39.2               20        51.254185        -2.622859       -6.6069593        10.814732        28.507694        6.4705386
              -28            -39.2               20       0.35047054        61.107853        3.5310676       -9.0026474       -3.4332042         37.56596
            -27.2            -39.2               20       -83.196007         8.600172        15.625041        10.088685       -37.473595        6.7668962
            -26.4            -39.2               20       -31.363508        -84.62561       -11.359017        29.882778       -17.306538       -38.802906
            -25.6            -39.2               20        77.923973       -56.901134       -38.693443       -3.7891371        27.182655       -24.481224
            -24.8            -39.2               20        72.666107        52.742004       -12.295135       -41.057549        29.072397        15.627552
              -24            -39.2               20       -21.484726        72.722145        33.673065       -26.937742       -6.6036673        22.489269
            -23.2            -39.2               20       -57.767262       -9.0163746        35.945679        18.520786       -17.500954       -1.0621731
            -22.4            -39.2               20        5.3879566       -50.529903       -1.3571151        37.397633        4.7793703       -11.878019
            -21.6            -39.2               20        51.150875        3.4252858        -26.98073        10.738384        13.166853        8.5972729
            -20.8            -39.2               20         4.811595        61.335777       -18.590429       -14.080979       -5.4604378        18.975533
              -20            -39.2               20       -60.153648        32.493172        2.9148664         -14.1416       -25.844196        0.9491086
            -19.2            -39.2               20       -56.464996       -49.397861        7.4398623       -2.6238022       -16.695253       -23.076517
            -18.4            -39.2               20        19.874161       -79.501205       -2.7338827        2.7668347        12.719784       -28.449863
            -17.6            -39.2               20        86.455719       -25.737309       -6.4532113       -7.9875479        28.267481       -7.1545362
            -16.8            -39.2               20        73.966835        60.940548        2.0726655        -18.49341        25.311533        17.234188
              -16            -39.2               20        1.2952156        106.03777        19.605988       -13.579161        4.7021036         25.02759
            -15.2            -39.2               20       -74.765923        72.711273        28.666113         3.062803       -15.477339        19.705723
            -14.4            -39.2               20       -101.48943       -3.1732731        22.033728        22.924747       -19.763294        3.8290453
            -13.6            -39.2               20       -66.018898       -65.590179        3.3360157        30.582811       -13.542276       -9.6230965
            -12.8            -39.2               20        -5.380332       -78.844788       -15.187227         24.22266       -1.5980537        -12.55963
              -12            -39.2               20        43.388226       -46.018276       -21.846027        11.373975        8.7318697       -9.1359358
            -11.2            -39.2               20        52.670467        5.0499926       -19.858837       -3.7655325        10.335945        3.0122471
            -10.4            -39.2               20        22.577024        41.347424         -10.4343       -8.2361832        2.7961073        10.616358
             -9.6            -39.2               20       -21.516224        46.187969       -3.2899976       -8.5629015       -5.0655079        12.312948
             -8.8            -39.2               20       -60.387482        28.118498      0.029526472       -5.8577433       -11.031717         7.460638
               -8            -39.2               20       -75.844566       -8.1845798        2.8694229     -0.059269071       -14.604838       -1.1987636
             -7.2            -39.2               20       -73.737579        -48.39101        1.3867226        1.2307506       -12.291232       -3.3063149
             -6.4            -39.2               20       -58.937183       -79.646851       0.81210113        4.5971026       -8.9139633       -7.2487798
             -5.6            -39.2               20       -33.689949       -103.80105       0.51201814        4.8473725       -6.3208733       -7.0570006
             -4.8            -39.2               20       -5.9437208       -116.59015       -2.4899163        6.4102902       -2.5037282       -7.8503017
