Hz, dB, Deg.
1.93020282628263e+005, 6.45919707892819e+001, -1.21468020062435e+002
1.94020382538254e+005, 6.46375613558587e+001, -1.21633622582013e+002
1.95020482448245e+005, 6.46829234693388e+001, -1.21799263888553e+002
1.96020582358236e+005, 6.47280594706615e+001, -1.21964944159279e+002
1.97020682268227e+005, 6.47729716646173e+001, -1.22130663571033e+002
1.98020782178218e+005, 6.48176623205785e+001, -1.22296422300279e+002
1.99020882088209e+005, 6.48621336732103e+001, -1.22462220523098e+002
2.00020981998200e+005, 6.49063879231653e+001, -1.22628058415183e+002
2.01021081908191e+005, 6.49504272377593e+001, -1.22793936151842e+002
2.02021181818182e+005, 6.49942537516321e+001, -1.22959853907990e+002
2.03021281728173e+005, 6.50378695673900e+001, -1.23125811858148e+002
2.04021381638164e+005, 6.50812767562340e+001, -1.23291810176443e+002
2.05021481548155e+005, 6.51244773585723e+001, -1.23457849036601e+002
2.06021581458146e+005, 6.51674733846174e+001, -1.23623928611948e+002
2.07021681368137e+005, 6.52102668149690e+001, -1.23790049075405e+002
2.08021781278128e+005, 6.52528596011835e+001, -1.23956210599485e+002
2.09021881188119e+005, 6.52952536663288e+001, -1.24122413356293e+002
2.10021981098110e+005, 6.53374509055266e+001, -1.24288657517522e+002
2.11022081008101e+005, 6.53794531864812e+001, -1.24454943254449e+002
2.12022180918092e+005, 6.54212623499968e+001, -1.24621270737933e+002
2.13022280828083e+005, 6.54628802104816e+001, -1.24787640138414e+002
2.14022380738074e+005, 6.55043085564404e+001, -1.24954051625906e+002
2.15022480648065e+005, 6.55455491509562e+001, -1.25120505370001e+002
2.16022580558056e+005, 6.55866037321601e+001, -1.25287001539859e+002
2.17022680468047e+005, 6.56274740136903e+001, -1.25453540304210e+002
2.18022780378038e+005, 6.56681616851410e+001, -1.25620121831350e+002
2.19022880288029e+005, 6.57086684125009e+001, -1.25786746289138e+002
2.20022980198020e+005, 6.57489958385811e+001, -1.25953413844991e+002
